Original,Tokenized,Cleaned,Length,Structure
लीग,"['ल', 'ी', 'ग']",लीग,3,CVC
लीद,"['ल', 'ी', 'द']",लीद,3,CVC
लीव,"['ल', 'ी', 'व']",लीव,3,CVC
लुक,"['ल', 'ु', 'क']",लुक,3,CVC
लुट,"['ल', 'ु', 'ट']",लुट,3,CVC
लू,"['ल', 'ू']",लू,2,CV
लूट,"['ल', 'ू', 'ट']",लूट,3,CVC
ले,"['ल', 'े']",ले,2,CV
लेंस,"['ल', 'े', 'स']",लेस,3,CVC
लेख,"['ल', 'े', 'ख']",लेख,3,CVC
लेट,"['ल', 'े', 'ट']",लेट,3,CVC
लेप,"['ल', 'े', 'प']",लेप,3,CVC
लेह,"['ल', 'े', 'ह']",लेह,3,CVC
लै,"['ल', 'ै']",लै,2,CV
लॉक,"['ल', 'ॉ', 'क']",लॉक,3,CVC
लो,"['ल', 'ो']",लो,2,CV
लोक,"['ल', 'ो', 'क']",लोक,3,CVC
लोग,"['ल', 'ो', 'ग']",लोग,3,CVC
लोट,"['ल', 'ो', 'ट']",लोट,3,CVC
लोभ,"['ल', 'ो', 'भ']",लोभ,3,CVC
लौ,"['ल', 'ौ']",लौ,2,CV
लौं,"['ल', 'ौ']",लौ,2,CV
लौंग,"['ल', 'ौ', 'ग']",लौग,3,CVC
लौट,"['ल', 'ौ', 'ट']",लौट,3,CVC
लौह,"['ल', 'ौ', 'ह']",लौह,3,CVC
व,['व'],व,1,CV
वंश,"['व', 'श']",वश,2,CVC
वक़्त,"['व', 'क', '़', '्', 'त']",वक़्त,5,CVCC
वक्त,"['व', 'क', '्', 'त']",वक्त,4,CVCC
वज्र,"['व', 'ज', '्', 'र']",वज्र,4,CVCC
वट,"['व', 'ट']",वट,2,CVC
वड,"['व', 'ड']",वड,2,CVC
वध,"['व', 'ध']",वध,2,CVC
वन,"['व', 'न']",वन,2,CVC
वर,"['व', 'र']",वर,2,CVC
वर्क,"['व', 'र', '्', 'क']",वर्क,4,CVCC
वर्ण,"['व', 'र', '्', 'ण']",वर्ण,4,CVCC
वर्ष,"['व', 'र', '्', 'ष']",वर्ष,4,CVCC
वर्षा,"['व', 'र', '्', 'ष', 'ा']",वर्षा,5,CVCCV
वश,"['व', 'श']",वश,2,CVC
वस्त्र,"['व', 'स', '्', 'त', '्', 'र']",वस्त्र,6,CVCCC
वह,"['व', 'ह']",वह,2,CVC
वा,"['व', 'ा']",वा,2,CV
वां,"['व', 'ा']",वा,2,CV
वाक्य,"['व', 'ा', 'क', '्', 'य']",वाक्य,5,CVCC
वाद,"['व', 'ा', 'द']",वाद,3,CVC
वाद्य,"['व', 'ा', 'द', '्', 'य']",वाद्य,5,CVCC
वाम,"['व', 'ा', 'म']",वाम,3,CVC
वार,"['व', 'ा', 'र']",वार,3,CVC
वाष्प,"['व', 'ा', 'ष', '्', 'प']",वाष्प,5,CVCC
वाह,"['व', 'ा', 'ह']",वाह,3,CVC
विघ्न,"['व', 'ि', 'घ', '्', 'न']",विघ्न,5,CVCC
वित्त,"['व', 'ि', 'त', '्', 'त']",वित्त,5,CVCC
विन,"['व', 'ि', 'न']",विन,3,CVC
विश्व,"['व', 'ि', 'श', '्', 'व']",विश्व,5,CVCC
विष,"['व', 'ि', 'ष']",विष,3,CVC
वी,"['व', 'ी']",वी,2,CV
वीन,"['व', 'ी', 'न']",वीन,3,CVC
वीर,"['व', 'ी', 'र']",वीर,3,CVC
वृक्ष,"['व', 'ृ', 'क', '्', 'ष']",वृक्ष,5,CVCC
वृत्त,"['व', 'ृ', 'त', '्', 'त']",वृत्त,5,CVCC
वृद्ध,"['व', 'ृ', 'द', '्', 'ध']",वृद्ध,5,CVCC
वें,"['व', 'े']",वे,2,CV
वेग,"['व', 'े', 'ग']",वेग,3,CVC
वेद,"['व', 'े', 'द']",वेद,3,CVC
वेद्य,"['व', 'े', 'द', '्', 'य']",वेद्य,5,CVCC
वेफ,"['व', 'े', 'फ']",वेफ,3,CVC
वेश,"['व', 'े', 'श']",वेश,3,CVC
वेष,"['व', 'े', 'ष']",वेष,3,CVC
वैद्य,"['व', 'ै', 'द', '्', 'य']",वैद्य,5,CVCC
वैर,"['व', 'ै', 'र']",वैर,3,CVC
वो,"['व', 'ो']",वो,2,CV
वोट,"['व', 'ो', 'ट']",वोट,3,CVC
वोह,"['व', 'ो', 'ह']",वोह,3,CVC
वौं,"['व', 'ौ']",वौ,2,CV
व्यक्त,"['व', '्', 'य', 'क', '्', 'त']",व्यक्त,6,CCVCC
व्यय,"['व', '्', 'य', 'य']",व्यय,4,CCVC
व्याघ्र,"['व', '्', 'य', 'ा', 'घ', '्', 'र']",व्याघ्र,7,CCVCC
व्याध,"['व', '्', 'य', 'ा', 'ध']",व्याध,5,CCVC
व्याध्य,"['व', '्', 'य', 'ा', 'ध', '्', 'य']",व्याध्य,7,CCVCC
व्याप्त,"['व', '्', 'य', 'ा', 'प', '्', 'त']",व्याप्त,7,CCVCC
व्यास,"['व', '्', 'य', 'ा', 'स']",व्यास,5,CCVC
व्यूह,"['व', '्', 'य', 'ू', 'ह']",व्यूह,5,CCVC
व्रत,"['व', '्', 'र', 'त']",व्रत,4,CCVC
श,['श'],श,1,CV
शं,['श'],श,1,CV
शंख,"['श', 'ख']",शख,2,CVC
शंट,"['श', 'ट']",शट,2,CVC
शः,"['श', 'ः']",शः,2,CV
शक,"['श', 'क']",शक,2,CVC
शक्ल,"['श', 'क', '्', 'ल']",शक्ल,4,CVCC
शट,"['श', 'ट']",शट,2,CVC
शड,"['श', 'ड']",शड,2,CVC
शब्द,"['श', 'ब', '्', 'द']",शब्द,4,CVCC
शर,"['श', 'र']",शर,2,CVC
शर्ट,"['श', 'र', '्', 'ट']",शर्ट,4,CVCC
शर्त,"['श', 'र', '्', 'त']",शर्त,4,CVCC
शव,"['श', 'व']",शव,2,CVC
शश,"['श', 'श']",शश,2,CVC
शा,"['श', 'ा']",शा,2,CV
शांत,"['श', 'ा', 'त']",शात,3,CVC
शाक,"['श', 'ा', 'क']",शाक,3,CVC
शान,"['श', 'ा', 'न']",शान,3,CVC
शाप,"['श', 'ा', 'प']",शाप,3,CVC
शाब,"['श', 'ा', 'ब']",शाब,3,CVC
शाम,"['श', 'ा', 'म']",शाम,3,CVC
शार्क,"['श', 'ा', 'र', '्', 'क']",शार्क,5,CVCC
शाल,"['श', 'ा', 'ल']",शाल,3,CVC
शाह,"['श', 'ा', 'ह']",शाह,3,CVC
शिव,"['श', 'ि', 'व']",शिव,3,CVC
शी,"['श', 'ी']",शी,2,CV
शीघ्र,"['श', 'ी', 'घ', '्', 'र']",शीघ्र,5,CVCC
शीत,"['श', 'ी', 'त']",शीत,3,CVC
शीर,"['श', 'ी', 'र']",शीर,3,CVC
शील,"['श', 'ी', 'ल']",शील,3,CVC
शीश,"['श', 'ी', 'श']",शीश,3,CVC
शुक्ल,"['श', 'ु', 'क', '्', 'ल']",शुक्ल,5,CVCC
शुड,"['श', 'ु', 'ड']",शुड,3,CVC
शुद्ध,"['श', 'ु', 'द', '्', 'ध']",शुद्ध,5,CVCC
शुभ,"['श', 'ु', 'भ']",शुभ,3,CVC
शू,"['श', 'ू']",शू,2,CV
शून्य,"['श', 'ू', 'न', '्', 'य']",शून्य,5,CVCC
शेख,"['श', 'े', 'ख']",शेख,3,CVC
शेड,"['श', 'े', 'ड']",शेड,3,CVC
शेर,"['श', 'े', 'र']",शेर,3,CVC
शेव,"['श', 'े', 'व']",शेव,3,CVC
शेष,"['श', 'े', 'ष']",शेष,3,CVC
शॉल,"['श', 'ॉ', 'ल']",शॉल,3,CVC
शो,"['श', 'ो']",शो,2,CV
शोध,"['श', 'ो', 'ध']",शोध,3,CVC
शोर,"['श', 'ो', 'र']",शोर,3,CVC
शौक,"['श', 'ौ', 'क']",शौक,3,CVC
शौच,"['श', 'ौ', 'च']",शौच,3,CVC
शौर्य,"['श', 'ौ', 'र', '्', 'य']",शौर्य,5,CVCC
श्याम,"['श', '्', 'य', 'ा', 'म']",श्याम,5,CCVC
श्राद्ध,"['श', '्', 'र', 'ा', 'द', '्', 'ध']",श्राद्ध,7,CCVCC
श्री,"['श', '्', 'र', 'ी']",श्री,4,CCV
श्रेय,"['श', '्', 'र', 'े', 'य']",श्रेय,5,CCVC
श्रेष्ठ,"['श', '्', 'र', 'े', 'ष', '्', 'ठ']",श्रेष्ठ,7,CCVCC
श्वेत,"['श', '्', 'व', 'े', 'त']",श्वेत,5,CCVC
षट,"['ष', 'ट']",षट,2,CVC
स,['स'],स,1,CV
सक,"['स', 'क']",सक,2,CVC
सच,"['स', 'च']",सच,2,CVC
सज,"['स', 'ज']",सज,2,CVC
सट,"['स', 'ट']",सट,2,CVC
सड़,"['स', 'ड', '़']",सड़,3,CVC
सत्,"['स', 'त', '्']",सत्,3,CVC
सद्यः,"['स', 'द', '्', 'य', 'ः']",सद्यः,5,CVCCV
सध,"['स', 'ध']",सध,2,CVC
सन,"['स', 'न']",सन,2,CVC
सन्,"['स', 'न', '्']",सन्,3,CVC
सन्न,"['स', 'न', '्', 'न']",सन्न,4,CVCC
सप,"['स', 'प']",सप,2,CVC
सब,"['स', 'ब']",सब,2,CVC
सब्र,"['स', 'ब', '्', 'र']",सब्र,4,CVCC
सभ्य,"['स', 'भ', '्', 'य']",सभ्य,4,CVCC
सम,"['स', 'म']",सम,2,CVC
समा,"['स', 'म', 'ा']",समा,3,CVCV
सर,"['स', 'र']",सर,2,CVC
सर्द,"['स', 'र', '्', 'द']",सर्द,4,CVCC
सह,"['स', 'ह']",सह,2,CVC
सा,"['स', 'ा']",सा,2,CV
साँस,"['स', 'ा', 'स']",सास,3,CVC
सांच,"['स', 'ा', 'च']",साच,3,CVC
सांझ,"['स', 'ा', 'झ']",साझ,3,CVC
सांड़,"['स', 'ा', 'ड', '़']",साड़,4,CVC
सांथ,"['स', 'ा', 'थ']",साथ,3,CVC
सांध,"['स', 'ा', 'ध']",साध,3,CVC
सांप,"['स', 'ा', 'प']",साप,3,CVC
साख,"['स', 'ा', 'ख']",साख,3,CVC
साग,"['स', 'ा', 'ग']",साग,3,CVC
साज़,"['स', 'ा', 'ज', '़']",साज़,4,CVC
सात,"['स', 'ा', 'त']",सात,3,CVC
साथ,"['स', 'ा', 'थ']",साथ,3,CVC
साद,"['स', 'ा', 'द']",साद,3,CVC
साध्य,"['स', 'ा', 'ध', '्', 'य']",साध्य,5,CVCC
सान,"['स', 'ा', 'न']",सान,3,CVC
साफ,"['स', 'ा', 'फ']",साफ,3,CVC
साफ़,"['स', 'ा', 'फ', '़']",साफ़,4,CVC
सार,"['स', 'ा', 'र']",सार,3,CVC
साल,"['स', 'ा', 'ल']",साल,3,CVC
सास,"['स', 'ा', 'स']",सास,3,CVC
साह,"['स', 'ा', 'ह']",साह,3,CVC
सा़फ,"['स', 'ा', '़', 'फ']",सा़फ,4,CVVC
सिंक,"['स', 'ि', 'क']",सिक,3,CVC
सिंह,"['स', 'ि', 'ह']",सिह,3,CVC
सिख,"['स', 'ि', 'ख']",सिख,3,CVC
सिम्त,"['स', 'ि', 'म', '्', 'त']",सिम्त,5,CVCC
सिर,"['स', 'ि', 'र']",सिर,3,CVC
सिर्फ,"['स', 'ि', 'र', '्', 'फ']",सिर्फ,5,CVCC
सिर्फ़,"['स', 'ि', 'र', '्', 'फ', '़']",सिर्फ़,6,CVCC
सिल,"['स', 'ि', 'ल']",सिल,3,CVC
सी,"['स', 'ी']",सी,2,CV
सींक,"['स', 'ी', 'क']",सीक,3,CVC
सींग,"['स', 'ी', 'ग']",सीग,3,CVC
सींच,"['स', 'ी', 'च']",सीच,3,CVC
सीख,"['स', 'ी', 'ख']",सीख,3,CVC
सीट,"['स', 'ी', 'ट']",सीट,3,CVC
सीत,"['स', 'ी', 'त']",सीत,3,CVC
सील,"['स', 'ी', 'ल']",सील,3,CVC
सीस,"['स', 'ी', 'स']",सीस,3,CVC
सुख,"['स', 'ु', 'ख']",सुख,3,CVC
सुत,"['स', 'ु', 'त']",सुत,3,CVC
सुध,"['स', 'ु', 'ध']",सुध,3,CVC
सुन,"['स', 'ु', 'न']",सुन,3,CVC
सुन्न,"['स', 'ु', 'न', '्', 'न']",सुन्न,5,CVCC
सुर,"['स', 'ु', 'र']",सुर,3,CVC
सुर्ख,"['स', 'ु', 'र', '्', 'ख']",सुर्ख,5,CVCC
सुर्र,"['स', 'ु', 'र', '्', 'र']",सुर्र,5,CVCC
सुस्त,"['स', 'ु', 'स', '्', 'त']",सुस्त,5,CVCC
सू,"['स', 'ू']",सू,2,CV
सूं,"['स', 'ू']",सू,2,CV
सूंघ,"['स', 'ू', 'घ']",सूघ,3,CVC
सूंड,"['स', 'ू', 'ड']",सूड,3,CVC
सूंड़,"['स', 'ू', 'ड', '़']",सूड़,4,CVC
सूंस,"['स', 'ू', 'स']",सूस,3,CVC
सूख,"['स', 'ू', 'ख']",सूख,3,CVC
सूझ,"['स', 'ू', 'झ']",सूझ,3,CVC
सूट,"['स', 'ू', 'ट']",सूट,3,CVC
सूत,"['स', 'ू', 'त']",सूत,3,CVC
सूत्र,"['स', 'ू', 'त', '्', 'र']",सूत्र,5,CVCC
सूद,"['स', 'ू', 'द']",सूद,3,CVC
सूर्य,"['स', 'ू', 'र', '्', 'य']",सूर्य,5,CVCC
सॅक,"['स', 'ॅ', 'क']",सॅक,3,CVC
से,"['स', 'े']",से,2,CV
सेंक,"['स', 'े', 'क']",सेक,3,CVC
सेंट,"['स', 'े', 'ट']",सेट,3,CVC
सेज,"['स', 'े', 'ज']",सेज,3,CVC
सेट,"['स', 'े', 'ट']",सेट,3,CVC
सेठ,"['स', 'े', 'ठ']",सेठ,3,CVC
सेब,"['स', 'े', 'ब']",सेब,3,CVC
सेर,"['स', 'े', 'र']",सेर,3,CVC
सैट,"['स', 'ै', 'ट']",सैट,3,CVC
सैम,"['स', 'ै', 'म']",सैम,3,CVC
सैर,"['स', 'ै', 'र']",सैर,3,CVC
सॉ,"['स', 'ॉ']",सॉ,2,CV
सो,"['स', 'ो']",सो,2,CV
सोख,"['स', 'ो', 'ख']",सोख,3,CVC
सोच,"['स', 'ो', 'च']",सोच,3,CVC
सोन,"['स', 'ो', 'न']",सोन,3,CVC
सौ,"['स', 'ौ']",सौ,2,CV
सौंप,"['स', 'ौ', 'प']",सौप,3,CVC
सौंफ,"['स', 'ौ', 'फ']",सौफ,3,CVC
सौर,"['स', 'ौ', 'र']",सौर,3,CVC
स्टाफ,"['स', '्', 'ट', 'ा', 'फ']",स्टाफ,5,CCVC
स्ट्रे,"['स', '्', 'ट', '्', 'र', 'े']",स्ट्रे,6,CCCV
स्तब्ध,"['स', '्', 'त', 'ब', '्', 'ध']",स्तब्ध,6,CCVCC
स्तर,"['स', '्', 'त', 'र']",स्तर,4,CCVC
स्त्री,"['स', '्', 'त', '्', 'र', 'ी']",स्त्री,6,CCCV
स्त्रोत,"['स', '्', 'त', '्', 'र', 'ो', 'त']",स्त्रोत,7,CCCVC
स्थल,"['स', '्', 'थ', 'ल']",स्थल,4,CCVC
स्थान,"['स', '्', 'थ', 'ा', 'न']",स्थान,5,CCVC
स्थिर,"['स', '्', 'थ', 'ि', 'र']",स्थिर,5,CCVC
स्नेह,"['स', '्', 'न', 'े', 'ह']",स्नेह,5,CCVC
स्पर्श,"['स', '्', 'प', 'र', '्', 'श']",स्पर्श,6,CCVCC
स्पष्ट,"['स', '्', 'प', 'ष', '्', 'ट']",स्पष्ट,6,CCVCC
स्याह,"['स', '्', 'य', 'ा', 'ह']",स्याह,5,CCVC
स्रोत,"['स', '्', 'र', 'ो', 'त']",स्रोत,5,CCVC
स्वत,"['स', '्', 'व', 'त']",स्वत,4,CCVC
स्वप्न,"['स', '्', 'व', 'प', '्', 'न']",स्वप्न,6,CCVCC
स्वर,"['स', '्', 'व', 'र']",स्वर,4,CCVC
स्वर्ण,"['स', '्', 'व', 'र', '्', 'ण']",स्वर्ण,6,CCVCC
स्वस्थ,"['स', '्', 'व', 'स', '्', 'थ']",स्वस्थ,6,CCVCC
स्वाद,"['स', '्', 'व', 'ा', 'द']",स्वाद,5,CCVC
स्वार्थ,"['स', '्', 'व', 'ा', 'र', '्', 'थ']",स्वार्थ,7,CCVCC
ह,['ह'],ह,1,CV
हँस,"['ह', 'स']",हस,2,CVC
हं,['ह'],ह,1,CV
हंस,"['ह', 'स']",हस,2,CVC
हक,"['ह', 'क']",हक,2,CVC
हट,"['ह', 'ट']",हट,2,CVC
हठ,"['ह', 'ठ']",हठ,2,CVC
हद,"['ह', 'द']",हद,2,CVC
हम,"['ह', 'म']",हम,2,CVC
हय,"['ह', 'य']",हय,2,CVC
हर,"['ह', 'र']",हर,2,CVC
हर्ज,"['ह', 'र', '्', 'ज']",हर्ज,4,CVCC
हर्ज़,"['ह', 'र', '्', 'ज', '़']",हर्ज़,5,CVCC
हर्ष,"['ह', 'र', '्', 'ष']",हर्ष,4,CVCC
हल,"['ह', 'ल']",हल,2,CVC
हष्ट,"['ह', 'ष', '्', 'ट']",हष्ट,4,CVCC
हस,"['ह', 'स']",हस,2,CVC
हा,"['ह', 'ा']",हा,2,CV
हाँ,"['ह', 'ा']",हा,2,CV
हां,"['ह', 'ा']",हा,2,CV
हांक,"['ह', 'ा', 'क']",हाक,3,CVC
हांफ,"['ह', 'ा', 'फ']",हाफ,3,CVC
हाट,"['ह', 'ा', 'ट']",हाट,3,CVC
हाथ,"['ह', 'ा', 'थ']",हाथ,3,CVC
हाय,"['ह', 'ा', 'य']",हाय,3,CVC
हार,"['ह', 'ा', 'र']",हार,3,CVC
हाल,"['ह', 'ा', 'ल']",हाल,3,CVC
हाव,"['ह', 'ा', 'व']",हाव,3,CVC
हास्य,"['ह', 'ा', 'स', '्', 'य']",हास्य,5,CVCC
हिं,"['ह', 'ि']",हि,2,CV
हिंद,"['ह', 'ि', 'द']",हिद,3,CVC
हिंस्र,"['ह', 'ि', 'स', '्', 'र']",हिस्र,5,CVCC
हित,"['ह', 'ि', 'त']",हित,3,CVC
हिब,"['ह', 'ि', 'ब']",हिब,3,CVC
हिम,"['ह', 'ि', 'म']",हिम,3,CVC
हिल,"['ह', 'ि', 'ल']",हिल,3,CVC
ही,"['ह', 'ी']",ही,2,CV
हीर,"['ह', 'ी', 'र']",हीर,3,CVC
हुं,"['ह', 'ु']",हु,2,CV
हुक्म,"['ह', 'ु', 'क', '्', 'म']",हुक्म,5,CVCC
हुल,"['ह', 'ु', 'ल']",हुल,3,CVC
हू,"['ह', 'ू']",हू,2,CV
हूप,"['ह', 'ू', 'प']",हूप,3,CVC
हूब,"['ह', 'ू', 'ब']",हूब,3,CVC
हे,"['ह', 'े']",हे,2,CV
हें,"['ह', 'े']",हे,2,CV
हेग,"['ह', 'े', 'ग']",हेग,3,CVC
हेत,"['ह', 'े', 'त']",हेत,3,CVC
हेय,"['ह', 'े', 'य']",हेय,3,CVC
हेल,"['ह', 'े', 'ल']",हेल,3,CVC
हेै,"['ह', 'े', 'ै']",हेै,3,CVV
है,"['ह', 'ै']",है,2,CV
हैं,"['ह', 'ै']",है,2,CV
हॉं,"['ह', 'ॉ']",हॉ,2,CV
हो,"['ह', 'ो']",हो,2,CV
हों,"['ह', 'ो']",हो,2,CV
होंठ,"['ह', 'ो', 'ठ']",होठ,3,CVC
होड़,"['ह', 'ो', 'ड', '़']",होड़,4,CVC
होम,"['ह', 'ो', 'म']",होम,3,CVC
होल,"['ह', 'ो', 'ल']",होल,3,CVC
होश,"['ह', 'ो', 'श']",होश,3,CVC
हौज़,"['ह', 'ौ', 'ज', '़']",हौज़,4,CVC
ह्रास,"['ह', '्', 'र', 'ा', 'स']",ह्रास,5,CCVC
